400,100,20,20
420,120,20,20
440,140,20,20
460,160,20,20
480,180,20,20
500,200,20,20
520,220,20,20
540,240,20,20
560,260,20,20
580,280,20,20
600,300,20,20
620,320,20,20
640,340,20,20
660,360,20,20
680,380,20,20
700,400,20,20
720,420,20,20
740,440,20,20
760,460,20,20
780,480,20,20
800,500,20,20
820,520,20,20
840,540,20,20
860,560,20,20
880,580,20,20
900,600,20,20
920,620,20,20
940,640,20,20
960,660,20,20
980,680,20,20
1000,700,20,20
1020,720,20,20
1040,740,20,20
1060,760,20,20
1080,780,20,20
1100,800,20,20
400,800,20,20
420,780,20,20
440,760,20,20
460,740,20,20
480,720,20,20
500,700,20,20
520,680,20,20
540,660,20,20
560,640,20,20
580,620,20,20
600,600,20,20
620,580,20,20
640,560,20,20
660,540,20,20
680,520,20,20
700,500,20,20
720,480,20,20
740,460,20,20
760,440,20,20
780,420,20,20
800,400,20,20
820,380,20,20
840,360,20,20
860,340,20,20
880,320,20,20
900,300,20,20
920,280,20,20
940,260,20,20
960,240,20,20
980,220,20,20
1000,200,20,20
1020,180,20,20
1040,160,20,20
1060,140,20,20
1080,120,20,20
1100,100,20,20
